,Author,Date,Message
3112,Other,"Jun 11, 2018, 4:33 AM",Eternal Spirits! Or have ye chosen this place 
3113,William Shakespeare,"Jun 11, 2018, 3:19 AM",A happy rural seat of various view; 
3114,Other,"Jun 11, 2018, 1:31 AM","Those argent fields more likely habitants, "
3115,Mickey Mouse,"Jun 11, 2018, 1:29 AM",That sparkling blazed; his other parts besides 
3116,Other,"Jun 11, 2018, 1:28 AM",From out this dark and dismal house of pain 
3117,Mickey Mouse,"Jun 11, 2018, 1:27 AM",In jointed armour watch: on smooth the seal 
3118,Other,"Jun 11, 2018, 1:27 AM","Down dropt, and all the faded roses shed: "
3119,Mickey Mouse,"Jun 11, 2018, 1:27 AM",Thus far his bold discourse without controul 
3120,Other,"Jun 11, 2018, 1:26 AM","By numbers that have name.  But this I urge, "
3121,Mickey Mouse,"Jun 11, 2018, 1:26 AM","But, that thou shouldst my firmness therefore doubt "
3122,Other,"Jun 11, 2018, 1:26 AM","Baptized, shall them with wonderous gifts endue "
3123,Other,"Jun 11, 2018, 1:26 AM","Repairing, in their golden urns draw light, "
3124,Other,"Jun 11, 2018, 1:26 AM","Of Japhet brought by Hermes, she ensnared "
3125,Mickey Mouse,"Jun 11, 2018, 1:13 AM",His fair large front and eye sublime declared 
3126,Other,"Jun 11, 2018, 1:06 AM",A happy rural seat of various view; 
3127,Other,"Jun 11, 2018, 1:06 AM",Of all his works:  therefore the Omnipotent 
3128,Mickey Mouse,"Jun 11, 2018, 12:52 AM","Of Heaven received us falling; and the thunder, "
3129,Mickey Mouse,"Jun 11, 2018, 12:52 AM","The rigid satisfaction, death for death. "
3130,William Shakespeare,"Jun 11, 2018, 12:49 AM","Endless, and no solution will be found: "
3131,Mickey Mouse,"Jun 10, 2018, 11:57 PM","Conferred upon us, and dominion given "
3132,Mickey Mouse,"Jun 10, 2018, 11:57 PM","Brought forth the tender grass, whose verdure clad "
3133,Mickey Mouse,"Jun 9, 2018, 6:08 AM","Of future days may bring, what chance, what change "
3134,William Shakespeare,"Jun 9, 2018, 6:07 AM","His peace, and thus proceeded in her plaint. "
3135,William Shakespeare,"Jun 9, 2018, 6:07 AM",Sense of new joy ineffable diffus'd. 
3136,Mickey Mouse,"Jun 9, 2018, 6:03 AM","Transcend his own so far; whose radiant forms, "
3137,Mickey Mouse,"Jun 9, 2018, 6:03 AM",And testified against their ways; he oft 
3138,William Shakespeare,"Jun 8, 2018, 3:53 PM","These gates for ever shut, which none can pass "
3139,Other,"Jun 8, 2018, 3:32 PM","Their own faith, not another's? for, on earth, "
3140,Mickey Mouse,"Jun 8, 2018, 3:30 PM","Nor multitude; stand only, and behold "
3141,Mickey Mouse,"Jun 8, 2018, 3:30 PM","The Tempter, but with show of zeal and love "
3142,Other,"May 28, 2018, 3:08 AM",To those bright Orders uttered thus his voice. 
3143,Other,"May 28, 2018, 3:08 AM","Eurus and Zephyr, with their lateral noise, "
3144,Other,"May 28, 2018, 3:00 AM","Magnificent this world, and earth his seat, "
3145,Other,"May 28, 2018, 3:00 AM",All nations shall be blest: he straight obeys; 
3146,Mickey Mouse,"May 28, 2018, 2:45 AM",Why shouldst not thou like sense within thee feel 
3147,William Shakespeare,"May 28, 2018, 2:45 AM","Strange horror seize thee, and pangs unfelt before."" "
3148,Mickey Mouse,"May 26, 2018, 4:23 PM","In their bright stand there left his Powers, to seise "
3149,Other,"May 26, 2018, 4:22 PM","Above his fellows, with monarchal pride "
3150,William Shakespeare,"May 26, 2018, 4:18 PM","The adverse legions, nor less hideous joined "
3151,Mickey Mouse,"May 26, 2018, 4:10 PM",Their wandering gods disguised in brutish forms 
3152,William Shakespeare,"May 26, 2018, 8:39 AM",Forthwith from council to the work they flew; 
3153,William Shakespeare,"May 26, 2018, 8:39 AM",A happy rural seat of various view; 
3154,William Shakespeare,"May 26, 2018, 8:38 AM","How nature paints her colours, how the bee "
3155,William Shakespeare,"May 26, 2018, 8:38 AM","Yet with revenge accomplish'd, and to Hell "
3156,Other,"May 26, 2018, 8:32 AM","'What life the Gods live there, and such live thou!' "
3157,William Shakespeare,"May 26, 2018, 8:29 AM",A vast circumference.  At his approach 
3158,William Shakespeare,"May 26, 2018, 8:29 AM","But first, a long succession must ensue; "
3159,Other,"May 26, 2018, 8:28 AM",That on my head all might be visited; 
3160,William Shakespeare,"May 26, 2018, 8:26 AM",Of Libra to the fleecy star that bears 
3161,William Shakespeare,"May 26, 2018, 8:25 AM","Dark with excessive bright thy skirts appear, "
3162,William Shakespeare,"May 26, 2018, 8:25 AM","Think not, revolted Spirit, thy shape the same, "
3163,Other,"May 26, 2018, 8:25 AM",His good to worlds and ages infinite. 
3164,William Shakespeare,"May 26, 2018, 8:25 AM","In wood or wilderness, forest or den; "
3165,William Shakespeare,"May 26, 2018, 8:25 AM",Messiah his triumphal chariot turned: 
3166,William Shakespeare,"May 26, 2018, 8:24 AM","Of Sericana, where Chineses drive "
3167,William Shakespeare,"May 26, 2018, 8:24 AM",Up to the Tropick Crab: thence down amain 
3168,William Shakespeare,"May 26, 2018, 8:24 AM","In Paradise to Adam or his race, "
3169,William Shakespeare,"May 26, 2018, 8:24 AM",Or thence from Niger flood to Atlas mount 
3170,Mickey Mouse,"May 25, 2018, 2:29 PM","The Apostate in his sun-bright chariot sat, "
3171,William Shakespeare,"May 25, 2018, 2:25 PM","Of light by far the greater part he took, "
3172,William Shakespeare,"May 25, 2018, 2:25 PM","I fell, how glorious once above thy sphere; "
3173,William Shakespeare,"May 25, 2018, 2:23 PM","So without least impulse or shadow of fate, "
3174,Mickey Mouse,"May 25, 2018, 2:21 PM","Cherubick waving fires:  On the other part, "
3175,William Shakespeare,"May 25, 2018, 2:16 PM","Your tribes, and water from the ambrosial fount? "
3176,Mickey Mouse,"May 25, 2018, 2:11 PM",The sensible of pain. All things invite 
3177,William Shakespeare,"May 25, 2018, 2:11 PM","Rocks, dens, and caves!  But I in none of these "
3178,William Shakespeare,"May 25, 2018, 2:11 PM","With thousand lesser lights dividual holds, "
3179,William Shakespeare,"May 23, 2018, 7:07 PM",As only in his arm the moment lay 
3180,William Shakespeare,"May 23, 2018, 2:44 AM","If stone, carbuncle most or chrysolite, "
3181,Other,"May 23, 2018, 2:42 AM","To range in, and to dwell, and over Man "
3182,Mickey Mouse,"May 21, 2018, 8:00 PM","More to the part sinister, from me drawn; "
3183,William Shakespeare,"May 21, 2018, 7:56 PM","Of Angels, than that star the stars among,) "
3184,William Shakespeare,"May 21, 2018, 7:56 PM",And downward fish; yet had his temple high 
3185,Mickey Mouse,"May 21, 2018, 6:55 PM","Philosophers in vain so long have sought, "
3186,Mickey Mouse,"May 21, 2018, 6:54 PM","The lowest of your throng; or, if ye know, "
3187,William Shakespeare,"May 21, 2018, 6:43 PM","Conversing, looking, loving, to abstain "
3188,Other,"May 21, 2018, 4:53 PM","Alike is Hell, or Paradise, or Heaven; "
3189,Other,"May 21, 2018, 4:53 PM","Not just, not God; not feared then, nor obeyed: "
3190,Other,"May 21, 2018, 4:53 PM","In wise deport, spake much of right and wrong, "
3191,Mickey Mouse,"May 21, 2018, 4:40 PM","Of such commotion; such as, to set forth "
3192,Donald Duck,"May 21, 2018, 6:09 AM","Within his sanctuary itself their shrines, "
3193,Donald Duck,"May 21, 2018, 6:09 AM","And sweet, reluctant, amorous delay. "
3194,William Shakespeare,"May 21, 2018, 5:47 AM","Of arts that polish life, inventers rare; "
3195,William Shakespeare,"May 21, 2018, 5:47 AM",Of those Heaven-warring champions could be found 
3196,Donald Duck,"May 21, 2018, 2:46 AM","A long day's dying, to augment our pain; "
3197,Donald Duck,"May 21, 2018, 2:46 AM",With charm of earliest birds; nor rising sun 
3198,William Shakespeare,"May 21, 2018, 2:28 AM","Henceforth of God or Angel, erst with joy "
3199,William Shakespeare,"May 21, 2018, 2:27 AM",This knows my Punisher; therefore as far 
3200,Donald Duck,"May 20, 2018, 10:28 PM","Or transmigration, as their lot shall lead. "
3201,Other,"May 20, 2018, 10:23 PM","Levelled, with such impetuous fury smote, "
3202,Donald Duck,"May 20, 2018, 9:57 PM","Nor number, nor example, with him wrought "
3203,Donald Duck,"May 20, 2018, 9:57 PM","Was left him, or false glitter:  All amazed "
3204,Other,"May 20, 2018, 9:54 PM","Found so unfortunate:  Nevertheless, "
3205,Donald Duck,"May 20, 2018, 9:53 PM",Comes thundering back with dreadful revolution 
3206,Donald Duck,"May 20, 2018, 9:37 PM","Designing or exhorting glorious war, "
3207,Donald Duck,"May 20, 2018, 9:37 PM","In serpent, inmate bad! and toward Eve "
3208,Donald Duck,"May 20, 2018, 9:36 PM","For who can think submission? War, then, war "
3209,William Shakespeare,"May 20, 2018, 9:29 PM","Was moving toward the shore; his ponderous shield, "
3210,William Shakespeare,"May 20, 2018, 9:28 PM",I must return to native dust?  O sight 
3211,Donald Duck,"May 20, 2018, 9:22 PM",Reluctance against God and his just yoke 
3212,Donald Duck,"May 20, 2018, 9:20 PM",That under ground they fought in dismal shade; 
3213,Donald Duck,"May 20, 2018, 9:20 PM","For man will hearken to his glozing lies, "
3214,William Shakespeare,"May 20, 2018, 9:19 PM",'But of the tree whose operation brings 
3215,William Shakespeare,"May 20, 2018, 9:19 PM","Reign thou in Hell, thy kingdom; let me serve "
3216,William Shakespeare,"May 20, 2018, 9:19 PM","Forbearance no acquittance, ere day end. "
3217,Donald Duck,"May 20, 2018, 9:16 PM","Of Lucifer, so by allusion called "
3218,Donald Duck,"May 20, 2018, 9:16 PM","On the rough edge of battle ere it joined, "
3219,Mickey Mouse,"May 20, 2018, 9:15 PM","Immutable, when thou wert lost, not I; "
3220,Donald Duck,"May 20, 2018, 9:15 PM",Argue thy inexperience what behoves 
3221,Donald Duck,"May 20, 2018, 9:14 PM","Displeased that I approach thee thus, and gaze "
3222,Donald Duck,"May 20, 2018, 9:14 PM","And fluttered into rags; then reliques, beads, "
3223,Donald Duck,"May 20, 2018, 9:14 PM",Much more to taste it under ban to touch. 
3224,William Shakespeare,"May 20, 2018, 8:03 PM","Brought her in naked beauty more adorned, "
3225,Mickey Mouse,"May 20, 2018, 8:01 PM","To luxury and riot, feast and dance; "
3226,William Shakespeare,"May 20, 2018, 8:01 PM","Our knowledge, and the scale of nature set "
3227,Other,"May 20, 2018, 8:01 PM","So smooths her charming tones, that God's own ear "
3228,William Shakespeare,"May 20, 2018, 7:56 PM","When I behold this goodly frame, this world, "
3229,William Shakespeare,"May 20, 2018, 7:56 PM",Cast forth redounding smoke and ruddy flame. 
3230,Mickey Mouse,"May 20, 2018, 7:49 PM",With worship place by place where he vouchsafed 
3231,Donald Duck,"May 20, 2018, 7:47 PM","'Here, happy creature, fair angelick Eve! "
3232,Donald Duck,"May 20, 2018, 7:47 PM",And torment less than none of what we dread; 
3233,Other,"May 20, 2018, 4:08 AM",All but the throne itself of God.  Full soon 
3234,Mickey Mouse,"May 20, 2018, 3:57 AM","Return, the stars of morn shall see him rise "
3235,Mickey Mouse,"May 20, 2018, 3:57 AM","Fame is not silent, here in hope to find "
3236,William Shakespeare,"May 20, 2018, 3:40 AM","Improved by tract of time, and, winged, ascend "
3237,Other,"May 20, 2018, 3:33 AM","Lies through your spacious empire up to light, "
3238,Other,"May 20, 2018, 3:32 AM","Shone like a meteor streaming to the wind, "
3239,William Shakespeare,"May 20, 2018, 3:32 AM",Erect the standard there of ancient Night. 
3240,Mickey Mouse,"May 20, 2018, 3:32 AM","Conspicuous far, winding with one ascent "
3241,Mickey Mouse,"May 20, 2018, 3:31 AM","Reason in man obscured, or not obeyed, "
3242,Other,"May 20, 2018, 3:31 AM","And guides the eastern sages, who inquire "
3243,Mickey Mouse,"May 20, 2018, 3:29 AM","Varied his bounty so with new delights, "
3244,Mickey Mouse,"May 20, 2018, 3:28 AM",To whom thus Michael.  Doubt not but that sin 
3245,Other,"May 20, 2018, 3:20 AM","The men, though grave, eyed them; and let their eyes "
3246,Mickey Mouse,"May 20, 2018, 3:18 AM",But I can now no more; the parting sun 
3247,William Shakespeare,"May 20, 2018, 3:18 AM","With vows, as their chief good, and final hope. "
3248,Other,"May 20, 2018, 3:18 AM",Powdered with stars.  And now on Earth the seventh 
3249,Mickey Mouse,"May 20, 2018, 3:18 AM","Till I, in Man residing, through the race, "
3250,Mickey Mouse,"May 20, 2018, 3:17 AM","So dreadful to thee?  That thou art naked, who "
3251,Other,"May 20, 2018, 3:17 AM","On Lemnos, th' Aegaean isle. Thus they relate, "
3252,Mickey Mouse,"May 20, 2018, 3:14 AM",But first with narrow search I must walk round 
3253,Mickey Mouse,"May 20, 2018, 3:14 AM","The more desirable; or, to say all, "
3254,William Shakespeare,"May 20, 2018, 3:14 AM","But first low reverence done, as to the Power "
3255,William Shakespeare,"May 20, 2018, 3:13 AM","Sent from her through the wide transpicuous air, "
3256,Mickey Mouse,"May 20, 2018, 3:13 AM",But Death comes not at call; Justice Divine 
3257,Mickey Mouse,"May 20, 2018, 3:12 AM","Cherubick waving fires:  On the other part, "
3258,Mickey Mouse,"May 16, 2018, 2:28 PM",From prone; nor in their ways complacence find. 
3259,Other,"May 16, 2018, 2:28 PM",Beyond the Earth's green Cape and verdant Isles 
3260,Mickey Mouse,"May 16, 2018, 2:28 PM","For state, as Sovran King; and to inure "
3261,Mickey Mouse,"May 16, 2018, 2:28 PM","His faithful, and receive them into bliss, "
3262,Mickey Mouse,"May 16, 2018, 2:28 PM","Your dungeon, stretching far and wide beneath; "
3263,Other,"May 16, 2018, 2:27 PM","A standing fight, then, soaring on main wing, "
3264,Other,"May 16, 2018, 2:26 PM","These are thy glorious works, Parent of good, "
3265,Other,"May 16, 2018, 2:24 PM","All power on him transferred:  Whence to his Son, "
3266,Other,"May 16, 2018, 2:23 PM","To God more glory, more good-will to Men "
3267,Other,"May 16, 2018, 2:23 PM",Gentle to me and affable hath been 
3268,Other,"May 16, 2018, 2:23 PM","Betwixt them lawns, or level downs, and flocks "
3269,Other,"May 16, 2018, 2:23 PM","Between us two let there be peace; both joining, "
3270,Other,"May 16, 2018, 2:23 PM",And at his chariot-wheels to drag him bound 
3271,Mickey Mouse,"May 16, 2018, 12:03 AM",Where light and darkness in perpetual round 
3272,Mickey Mouse,"May 16, 2018, 12:03 AM","Thus foiled their mightiest; ours joy filled, and shout, "
3273,Mickey Mouse,"May 16, 2018, 12:03 AM","The mother of mankind, what time his pride "
3274,Other,"May 15, 2018, 12:00 AM", 
3275,William Shakespeare,"May 14, 2018, 10:58 PM","His stature reached the sky, and on his crest "
3276,Other,"May 14, 2018, 9:59 PM","Bold deed thou hast presumed, adventurous Eve, "
3277,Mickey Mouse,"May 14, 2018, 9:14 PM",Then had the sons of God excuse to have been 
3278,Other,"May 14, 2018, 7:50 PM","What drops the myrrh, and what the balmy reed, "
3279,Other,"May 14, 2018, 7:50 PM","Not longer than since I, in one night, freed "
3280,William Shakespeare,"May 8, 2018, 1:02 AM","Of growth, sense, reason, all summed up in Man. "
3281,William Shakespeare,"May 8, 2018, 1:02 AM",(What could it less when Spirits immortal sing?) 
3282,Other,"May 7, 2018, 3:52 AM","  So spake the grisly Terror, and in shape, "
3283,Mickey Mouse,"May 7, 2018, 3:45 AM",Sublime with expectation when to see 
3284,William Shakespeare,"May 7, 2018, 3:44 AM","By wisdom, and superiour gifts received. "
3285,Other,"May 7, 2018, 3:44 AM",Till I provided death: so death becomes 
3286,Mickey Mouse,"May 7, 2018, 3:44 AM",Under a tuft of shade that on a green 
3287,Mickey Mouse,"May 7, 2018, 3:44 AM","Visitest my slumbers nightly, or when morn "
3288,William Shakespeare,"May 3, 2018, 12:57 AM",Soon as they forth were come to open sight 
3289,William Shakespeare,"May 3, 2018, 12:56 AM",For never but once more was wither like 
3290,William Shakespeare,"May 3, 2018, 12:56 AM","'Inseparably thine, to him shalt bear "
3291,Other,"May 2, 2018, 4:26 PM","Of Angels by imperial summons called, "
3292,Other,"May 2, 2018, 4:26 PM","The great Work-master, leads to no excess "
3293,Other,"May 2, 2018, 4:25 PM",Who is our equal:  Then thou shalt behold 
3294,William Shakespeare,"May 2, 2018, 4:25 PM","Perplexes monarchs. Darkened so, yet shone "
3295,William Shakespeare,"May 2, 2018, 4:25 PM",Of subterranean wind transprots a hill 
3296,William Shakespeare,"May 2, 2018, 4:25 PM","Returned on that bright beam, whose point now raised "
3297,William Shakespeare,"May 2, 2018, 4:25 PM","Us happy, and without love no happiness. "
3298,William Shakespeare,"May 2, 2018, 4:25 PM",War hath determined us and foiled with loss 
3299,William Shakespeare,"May 2, 2018, 3:22 PM",And bended dolphins play: part huge of bulk 
3300,Mickey Mouse,"May 2, 2018, 3:17 PM","Expected, least of all from thee,  Ingrate, "
3301,William Shakespeare,"May 2, 2018, 3:16 PM",After the tempest. Such applause was heard 
3302,William Shakespeare,"May 2, 2018, 3:16 PM",In jointed armour watch: on smooth the seal 
3303,William Shakespeare,"May 2, 2018, 3:16 PM","This intellectual food, for beasts reserved? "
3304,William Shakespeare,"Apr 26, 2018, 5:57 AM",With sweet austere composure thus replied. 
3305,Other,"Apr 26, 2018, 5:56 AM",The fall of others from like state of bliss; 
3306,William Shakespeare,"Apr 26, 2018, 5:55 AM",Whose eye so superficially surveys 
3307,Other,"Apr 26, 2018, 5:46 AM",Safe toward Canaan from the shore advance 
3308,Other,"Apr 26, 2018, 5:46 AM","Followed with benediction.  Since to part, "
3309,Other,"Apr 26, 2018, 5:46 AM",And good works in her husband to promote. 
3310,William Shakespeare,"Apr 26, 2018, 5:46 AM","With terrours, and with furies, to the bounds "
3311,Other,"Apr 26, 2018, 5:46 AM",Half sunk with all his pines.  Amazement seised 
3312,William Shakespeare,"Apr 26, 2018, 5:45 AM","Through all his realm, and there confounded leave; "
3313,Other,"Apr 26, 2018, 5:39 AM",Half sunk with all his pines.  Amazement seised 
3314,Other,"Apr 26, 2018, 5:39 AM","Wisdom to folly, as nourishment to wind. "
3315,William Shakespeare,"Apr 26, 2018, 3:10 AM","Flatly unjust, to bind with laws the free, "
3316,Other,"Apr 26, 2018, 1:44 AM",A foe so proud will first the weaker seek; 
3317,William Shakespeare,"Apr 26, 2018, 1:38 AM","Go then, Thou Mightiest, in thy Father's might; "
3318,Mickey Mouse,"Apr 26, 2018, 12:57 AM","Choicest and best; then, sacrificing, laid "
3319,Other,"Apr 26, 2018, 12:29 AM","And high disdain from sense of injured merit, "
3320,William Shakespeare,"Apr 26, 2018, 12:28 AM",Whose eye so superficially surveys 
3321,William Shakespeare,"Apr 26, 2018, 12:28 AM",And to the heavenly Vision thus presumed. 
3322,William Shakespeare,"Apr 26, 2018, 12:28 AM","So, on this windy sea of land, the Fiend "
3323,Mickey Mouse,"Apr 26, 2018, 12:28 AM","Know ye not then said Satan, filled with scorn, "
3324,Mickey Mouse,"Apr 26, 2018, 12:28 AM","Unterrified, and like a comet burned, "
3325,Other,"Apr 26, 2018, 12:27 AM","Or won to what may work his utter loss, "
3326,Other,"Apr 26, 2018, 12:27 AM","More glorious and more dread than from no fall, "
3327,Other,"Apr 26, 2018, 12:24 AM","Inseparable, must with me along; "
3328,Other,"Apr 26, 2018, 12:24 AM",Not diffident of thee do I dissuade 
3329,Other,"Apr 26, 2018, 12:24 AM","Mother of all things living, since by thee "
3330,Other,"Apr 23, 2018, 5:12 PM",Coasting the wall of Heaven on this side Night 
3331,Mickey Mouse,"Apr 23, 2018, 2:34 PM","Sole Eve, associate sole, to me beyond "
3332,William Shakespeare,"Apr 23, 2018, 2:34 PM","Be infinitely good, and of his good "
3333,William Shakespeare,"Apr 23, 2018, 2:34 PM","Homeward returning.  High in front advanced, "
3334,Other,"Apr 23, 2018, 6:26 AM","Fair couple, linked in happy nuptial league, "
3335,Other,"Apr 23, 2018, 6:26 AM",Not our necessitated; such with him 
3336,Mickey Mouse,"Apr 23, 2018, 5:16 AM",And writhed him to and fro convolved; so sore 
3337,William Shakespeare,"Apr 23, 2018, 5:14 AM",His offering soon propitious fire from Heaven 
3338,Mickey Mouse,"Apr 23, 2018, 5:04 AM",To better life shall yield him: where with me 
3339,William Shakespeare,"Apr 23, 2018, 5:01 AM","Thence to behold this new created world, "
3340,William Shakespeare,"Apr 23, 2018, 5:01 AM","Not tried or manacled with joint or limb, "
3341,William Shakespeare,"Apr 23, 2018, 5:01 AM","The ancient sire descends, with all his train; "
3342,William Shakespeare,"Apr 23, 2018, 5:00 AM",Prince above princes! gently hast thou told 
3343,Mickey Mouse,"Apr 23, 2018, 4:59 AM","Determined, and thy hapless crew involved "
3344,Mickey Mouse,"Apr 23, 2018, 4:59 AM","And daily thanks; I chiefly, who enjoy "
3345,Other,"Apr 23, 2018, 4:50 AM","To them made common and divulged, if aught "
3346,Other,"Apr 23, 2018, 4:50 AM","Matter to me of glory, whom their hate "
3347,Other,"Apr 23, 2018, 4:50 AM","Sung Halleluiah, as the sound of seas, "
3348,William Shakespeare,"Apr 23, 2018, 4:14 AM",But Man by number is to manifest 
3349,Mickey Mouse,"Apr 22, 2018, 4:03 PM","So spake, so wished much humbled Eve; but Fate "
3350,William Shakespeare,"Apr 22, 2018, 3:46 PM","Roaming to seek their prey on Earth, durst fix "
3351,Mickey Mouse,"Apr 22, 2018, 3:09 PM","Of Paradise and Eden's happy plains, "
3352,Other,"Apr 21, 2018, 10:12 PM",Or satiate fury yield it from our Foe. 
3353,William Shakespeare,"Apr 21, 2018, 2:09 PM","That all these puissant legions, whose exile "
3354,Other,"Apr 21, 2018, 7:51 AM",Fell long before; nor aught aviled him now 
3355,Mickey Mouse,"Apr 21, 2018, 7:06 AM","Heaven ruining from Heaven, and would have fled "
3356,Other,"Apr 21, 2018, 7:04 AM","Patron of liberty, who more than thou "
3357,Other,"Apr 21, 2018, 6:56 AM","The benefit:  Consider first, that great "
3358,Other,"Apr 21, 2018, 6:10 AM",As they would dance; yet for a dance they seemed 
3359,William Shakespeare,"Apr 21, 2018, 5:56 AM","Then shining heavenly fair, a goddess armed, "
3360,Mickey Mouse,"Apr 18, 2018, 2:48 PM",Of Heaven and Earth consisting; and compute 
3361,Mickey Mouse,"Apr 18, 2018, 2:48 PM","Of some great ammiral, were but a wand-- "
3362,Mickey Mouse,"Apr 17, 2018, 5:46 AM",So threatened he; but Satan to no threats 
3363,William Shakespeare,"Apr 17, 2018, 5:34 AM","Well pleased, but answered not:  For now, too nigh "
3364,William Shakespeare,"Apr 17, 2018, 5:34 AM","Hangs in the clouds, by equinoctial winds "
3365,Mickey Mouse,"Apr 17, 2018, 5:22 AM","Her seed shall bruise thy head, thou bruise his heel. "
3366,William Shakespeare,"Apr 17, 2018, 5:19 AM","Alcinous reigned, fruit of all kinds, in coat "
3367,Mickey Mouse,"Apr 17, 2018, 5:04 AM",To Haran; after him a cumbrous train 
3368,Mickey Mouse,"Apr 17, 2018, 2:24 AM",Of sympathy and love:  There I had fixed 
3369,Other,"Apr 17, 2018, 2:07 AM","In darker veil,) and roseat dews disposed "
3370,William Shakespeare,"Apr 17, 2018, 2:07 AM","Of right, that I may mitigate their doom "
3371,William Shakespeare,"Apr 17, 2018, 2:07 AM",We may with more successful hope resolve 
3372,William Shakespeare,"Apr 17, 2018, 2:06 AM","All nations they shall teach; for, from that day, "
3373,William Shakespeare,"Apr 17, 2018, 2:06 AM","Which must be born to certain woe, devoured "
3374,William Shakespeare,"Apr 17, 2018, 2:06 AM","Join voices, all ye living Souls:  Ye Birds, "
3375,William Shakespeare,"Apr 17, 2018, 2:06 AM",Not what they would?  what praise could they receive? 
3376,Mickey Mouse,"Apr 17, 2018, 2:04 AM","Or that, not mystick, where the sapient king "
3377,Other,"Apr 15, 2018, 4:38 AM","Angelick harmonies:  The earth, the air "
3378,William Shakespeare,"Apr 15, 2018, 4:37 AM",Here Nature seems fulfilled in all her ends. 
3379,Mickey Mouse,"Apr 5, 2018, 1:29 AM","In things to us forbidden, it might be wished, "
3380,Mickey Mouse,"Apr 5, 2018, 1:29 AM","How art thou lost! how on a sudden lost, "
3381,Mickey Mouse,"Apr 5, 2018, 1:29 AM","By thee communicated, and our want: "
3382,Other,"Apr 5, 2018, 12:14 AM",Access denied; and overhead upgrew 
3383,William Shakespeare,"Apr 5, 2018, 12:14 AM",No ingrateful food:  And food alike those pure 
3384,Other,"Apr 5, 2018, 12:13 AM","Witness this new-made world, another Heaven "
3385,Other,"Apr 5, 2018, 12:06 AM","Think not I shall be nice.  So down they sat, "
3386,Other,"Apr 4, 2018, 11:52 PM","Childless thou art, childless remain: so Death "
3387,Other,"Mar 31, 2018, 5:29 AM",Of creatures animate with gradual life 
3388,Mickey Mouse,"Mar 31, 2018, 5:22 AM","Compared with aught on earth, metal or stone; "
3389,William Shakespeare,"Mar 31, 2018, 4:13 AM","Or in Valdarno, to descry new lands, "
3390,William Shakespeare,"Mar 31, 2018, 4:13 AM","Greedily she ingorged without restraint, "
3391,William Shakespeare,"Mar 31, 2018, 4:12 AM","Rich Mexico, the seat of Montezume, "
3392,William Shakespeare,"Mar 28, 2018, 5:45 AM",Book IX                                                          
3393,Mickey Mouse,"Mar 28, 2018, 5:39 AM","Thither let us bend all our thoughts, to learn "
3394,Mickey Mouse,"Mar 28, 2018, 5:38 AM","To worst abuse, or to their meanest use. "
3395,William Shakespeare,"Mar 28, 2018, 5:32 AM","Tine the slant lightning; whose thwart flame, driven down "
3396,William Shakespeare,"Mar 28, 2018, 5:31 AM","Vapour, and exhalation dusk and moist, "
3397,William Shakespeare,"Mar 28, 2018, 5:31 AM","Of things so high and strange; things, to their thought "
3398,Mickey Mouse,"Mar 28, 2018, 5:28 AM",Heard not her lore; both in subjection now 
3399,William Shakespeare,"Mar 28, 2018, 5:27 AM","Whoever judged, the worst on me must light, "
3400,William Shakespeare,"Mar 28, 2018, 5:27 AM","Weening to prosper, and at length prevail "
3401,William Shakespeare,"Mar 28, 2018, 5:27 AM","All seasons, ripe for use hangs on the stalk; "
3402,William Shakespeare,"Mar 28, 2018, 5:25 AM","Unsucked of lamb or kid, that tend their play. "
3403,Mickey Mouse,"Mar 28, 2018, 5:15 AM",So spake the fervent Angel; but his zeal 
3404,Mickey Mouse,"Mar 28, 2018, 5:15 AM",Before him Power Divine his way prepared; 
3405,Other,"Mar 28, 2018, 5:14 AM","Whereat the heart of Adam, erst so sad, "
3406,Other,"Mar 28, 2018, 5:14 AM",Whatever hypocrites austerely talk 
3407,Other,"Mar 28, 2018, 5:14 AM",Canaan he now attains; I see his tents 
3408,Mickey Mouse,"Mar 28, 2018, 5:08 AM","And choral symphonies, day without night, "
3409,Mickey Mouse,"Mar 28, 2018, 5:06 AM","In presence of the Almighty Father, pleased "
3410,Mickey Mouse,"Mar 28, 2018, 5:05 AM",With me in secret that my womb conceived 
3411,William Shakespeare,"Mar 28, 2018, 4:59 AM","At their great Emperor's call, as next in worth "
3412,Mickey Mouse,"Mar 28, 2018, 4:33 AM","This most afflicts me, that, departing hence, "
3413,Mickey Mouse,"Mar 28, 2018, 4:33 AM","Hold, as you yours, while our obedience holds; "
3414,Mickey Mouse,"Mar 28, 2018, 4:33 AM","To evangelize the nations, then on all "
3415,Mickey Mouse,"Mar 28, 2018, 4:28 AM",Detain from following thy illustrious track. 
3416,Mickey Mouse,"Mar 28, 2018, 4:28 AM","All these his works so wonderous he ordained, "
3417,Mickey Mouse,"Mar 28, 2018, 4:27 AM","On Europe thence, and where Rome was to sway "
3418,Mickey Mouse,"Mar 28, 2018, 4:26 AM","As the vine curls her tendrils, which implied "
3419,Mickey Mouse,"Mar 28, 2018, 4:26 AM",Whether in Heaven or Earth; for then the Earth 
3420,Mickey Mouse,"Mar 28, 2018, 4:24 AM",A sweaty reaper from his tillage brought 
3421,Mickey Mouse,"Mar 28, 2018, 4:23 AM","Outrageous to devour, immures us round "
3422,Mickey Mouse,"Mar 28, 2018, 4:23 AM","Bereaving sense, but endless misery "
